epoch,accuracy,precision,recall,f1_score,loss,train_time,memory
1,0.949685534591195,0.9330943847072879,0.9701863354037267,0.951278928136419,0.2382670591150097,30.626182317733765,1279.34765625
2,0.9551362683438155,0.9324165029469548,0.9826086956521739,0.9568548387096775,0.07035331960090466,33.52174210548401,1280.23828125
3,0.9488469601677149,0.9113300492610837,0.9958592132505176,0.9517214087851207,0.022053350076301475,34.36716389656067,1283.53125
4,0.959748427672956,0.9458483754512635,0.9763975155279503,0.960880195599022,0.0038406592838191957,27.91434073448181,1280.27734375
5,0.959748427672956,0.9408964696548988,0.9821946169772257,0.9611021069692058,0.0011017012107628753,28.100773334503174,1283.05859375
6,0.9465408805031447,0.9090909090909091,0.9937888198757764,0.9495548961424333,0.006283986778693504,28.217026233673096,1283.62890625
7,0.9444444444444444,0.9065809379727685,0.9925465838509316,0.9476181063451274,0.00327126212896651,28.25200581550598,1283.58203125
8,0.9509433962264151,0.9205553413035095,0.9884057971014493,0.9532747603833865,0.00024987736929175106,29.036179304122925,1283.3984375
9,0.9480083857442348,0.914657481821661,0.989648033126294,0.9506762132060461,2.6218093392105663e-05,29.864147901535034,1282.75
10,0.9475890985324947,0.9142747799464217,0.9892339544513458,0.9502784407319014,7.186600253461759e-06,29.540982007980347,1283.24609375
